Anzahl von Threads;1. Berechnung [s];2. Berechnung [s];3. Berechnung [s];4. Berechnung [s];5. Berechnung [s];6. Berechnung [s];7. Berechnung [s];8. Berechnung [s];9. Berechnung [s];10. Berechnung [s];11. Berechnung [s];12. Berechnung [s];13. Berechnung [s];14. Berechnung [s];15. Berechnung [s];16. Berechnung [s];17. Berechnung [s];18. Berechnung [s];19. Berechnung [s];20. Berechnung [s];21. Berechnung [s];22. Berechnung [s];23. Berechnung [s];24. Berechnung [s];25. Berechnung [s];26. Berechnung [s];27. Berechnung [s];28. Berechnung [s];29. Berechnung [s];30. Berechnung [s];31. Berechnung [s];32. Berechnung [s];33. Berechnung [s];34. Berechnung [s];35. Berechnung [s];36. Berechnung [s];37. Berechnung [s];38. Berechnung [s];39. Berechnung [s];40. Berechnung [s];41. Berechnung [s];42. Berechnung [s];43. Berechnung [s];44. Berechnung [s];45. Berechnung [s];46. Berechnung [s];47. Berechnung [s];48. Berechnung [s];49. Berechnung [s];50. Berechnung [s];Durchschnittswert [s]
12;4.568804;4.584201;4.413852;4.302811;4.478716;4.514540;4.501116;4.440248;4.355807;4.530231;4.411172;4.545815;4.401855;4.314666;4.427054;4.532166;4.368634;4.431250;4.422363;4.554380;4.457880;4.392085;4.536580;4.356337;4.539405;4.452414;4.414308;4.601916;4.392149;4.446190;4.268158;4.552754;4.535019;4.445761;4.352673;4.466832;4.371313;4.471388;4.452948;4.423741;4.388872;4.371830;4.275122;4.440306;4.330893;4.646097;4.545404;4.504744;4.575104;4.384935;4.449857
14;4.376740;4.386863;4.317363;4.391320;4.388451;4.289684;4.471365;4.226606;4.447759;4.448388;4.442824;4.287877;4.393358;4.504529;4.444056;4.323384;4.399472;4.313903;4.146003;4.517322;4.415625;4.588347;4.661211;4.257089;4.277271;4.322377;4.505515;4.318886;4.433132;4.441015;4.292772;4.305413;4.337781;4.492279;4.346904;4.470747;4.393237;4.325025;4.295694;4.402316;4.513764;4.323242;4.275537;4.232055;4.406411;4.425342;4.347542;4.357120;4.334917;4.326030;4.378837
16;4.330565;4.178808;4.227736;4.228211;4.288179;4.381679;4.375687;4.258488;4.332517;4.169758;4.390338;4.288332;4.302684;4.377057;4.331524;4.132149;4.271902;4.449552;4.312317;4.284980;4.191203;4.285339;4.271826;4.415017;4.349866;4.228190;4.217687;4.365890;4.354079;4.396879;4.237305;4.225034;4.316914;4.254844;4.328798;4.373439;4.302753;4.213492;4.371727;4.361949;4.323107;4.239810;4.269611;4.104824;4.299460;4.412127;4.250533;4.337385;4.135508;4.383085;4.294603
18;5.094862;5.137587;5.014961;5.235912;5.351149;4.944385;5.354008;4.346212;4.798325;4.951819;4.385004;4.367262;4.200785;4.263878;4.205330;4.173984;4.193629;4.308546;4.432297;4.417051;4.250822;4.183083;4.239268;4.295270;4.310075;4.282811;4.134572;4.374087;4.238771;4.284436;4.386200;4.187987;4.383641;4.218811;4.400612;4.258970;4.182665;4.151721;4.260882;4.348129;4.329332;4.372342;4.234846;4.323148;4.332558;4.315585;4.281499;4.258584;4.142956;4.290148;4.428616
20;4.214776;4.244204;4.154090;4.155187;4.247520;4.164677;4.224466;4.209277;4.085108;4.245008;4.261972;4.238144;4.241383;4.111114;4.217105;4.184293;4.216632;4.182002;4.150067;4.228050;4.300362;4.291964;4.234935;4.091003;4.299236;4.210948;4.254740;4.253961;4.128930;4.113350;4.225890;4.205623;4.180259;4.106833;4.235902;4.232733;4.180780;4.155632;4.107132;4.240700;4.205560;4.278911;4.268607;4.268970;4.142317;4.178384;4.244221;4.238964;4.190100;4.146502;4.203770
22;4.181188;4.156297;4.252033;4.154639;4.097755;4.208467;4.253670;4.204948;4.189871;4.151916;4.243406;4.202581;4.212789;4.265051;4.137492;4.255373;4.270560;4.355558;4.170462;4.197159;4.156430;4.241937;4.163355;4.177181;4.097569;4.157403;4.171315;4.300578;4.265124;4.134636;4.162874;4.230906;4.251451;4.207238;4.095979;4.276665;4.213333;4.245060;4.246298;4.075002;4.233237;4.187193;4.198534;4.184617;4.107808;4.298953;4.187978;4.180632;4.236595;4.137808;4.199698
24;4.213239;4.189486;4.211586;4.164842;4.095044;4.155214;4.344955;4.189039;4.158305;4.103049;4.244325;4.172088;4.209072;4.156090;4.082843;4.175865;4.172455;4.195037;4.213890;4.061310;4.179078;4.213708;4.199997;4.220257;4.070204;4.185388;4.286312;4.232425;4.194623;4.073997;4.178158;4.230475;4.262665;4.205294;4.166329;4.271995;4.191951;4.312768;4.222947;4.115904;4.235366;4.163734;4.215311;4.255144;4.101093;4.218900;4.202823;4.143738;4.217378;4.156159;4.188637
26;4.157403;4.135623;4.175032;4.250728;4.137741;4.170648;4.182933;4.156653;4.149891;4.111480;4.194649;4.211785;4.180139;4.235257;4.227490;4.190876;4.179921;4.288231;4.200175;4.170767;4.195731;4.273851;4.211435;4.213320;4.083617;4.167665;4.193627;4.184970;4.245358;4.123891;4.200766;4.251591;4.144801;4.264353;4.090254;4.271090;4.197502;4.204851;4.179725;4.076167;4.143986;4.183542;4.173270;4.215829;4.136506;4.199630;4.148740;4.194620;4.247818;4.142489;4.185368
28;4.159240;4.128502;4.215708;4.157325;4.057539;4.155367;4.205325;4.256799;4.171141;4.078967;4.182487;4.247714;4.155367;4.197137;4.156719;4.229924;4.200369;4.235927;4.129038;4.048180;4.154994;4.369137;4.318665;4.241459;4.087396;4.166285;4.199711;4.195043;4.232268;4.052270;4.163847;4.175516;4.606642;5.059663;5.140211;4.545121;4.114494;4.184990;4.204747;4.208093;4.159465;4.034085;4.196456;4.202073;4.235377;4.144588;4.106436;4.179939;4.137031;4.196110;4.227618
30;4.139844;4.037441;4.198733;4.268476;4.168180;4.182432;4.130184;4.151186;4.168206;4.228546;4.163268;4.119085;4.174459;4.217165;4.311443;4.154843;4.053033;4.188896;4.188622;4.192597;4.182974;4.060107;4.156047;4.173334;4.151143;4.097229;4.220012;4.176696;4.216696;4.230601;4.087687;4.258764;4.172343;4.172571;4.138523;4.122282;4.219178;4.188083;4.185263;4.198160;4.085618;4.198999;4.166946;4.156491;4.174224;4.123716;4.241329;4.166380;4.147966;4.218760;4.170495
