Anzahl von Prozessen;1. Berechnung [s];2. Berechnung [s];3. Berechnung [s];4. Berechnung [s];5. Berechnung [s];6. Berechnung [s];7. Berechnung [s];8. Berechnung [s];9. Berechnung [s];10. Berechnung [s];11. Berechnung [s];12. Berechnung [s];13. Berechnung [s];14. Berechnung [s];15. Berechnung [s];16. Berechnung [s];17. Berechnung [s];18. Berechnung [s];19. Berechnung [s];20. Berechnung [s];21. Berechnung [s];22. Berechnung [s];23. Berechnung [s];24. Berechnung [s];25. Berechnung [s];26. Berechnung [s];27. Berechnung [s];28. Berechnung [s];29. Berechnung [s];30. Berechnung [s];31. Berechnung [s];32. Berechnung [s];33. Berechnung [s];34. Berechnung [s];35. Berechnung [s];36. Berechnung [s];37. Berechnung [s];38. Berechnung [s];39. Berechnung [s];40. Berechnung [s];41. Berechnung [s];42. Berechnung [s];43. Berechnung [s];44. Berechnung [s];45. Berechnung [s];46. Berechnung [s];47. Berechnung [s];48. Berechnung [s];49. Berechnung [s];50. Berechnung [s];Durchschnittswert [s]
900;3.478494;3.491666;3.407477;3.452249;3.509662;3.409563;3.490080;3.474306;3.392225;3.495347;3.465523;3.390527;3.491730;3.461109;3.431064;3.461288;3.380851;3.482166;3.481704;3.373559;3.473242;3.509833;3.389041;3.472906;3.484586;3.395031;3.486948;3.456236;3.393357;3.482264;3.475764;3.396587;3.464645;3.495839;3.374031;3.464385;3.496369;3.401684;3.463793;3.498212;3.382479;3.478056;3.466585;3.381088;3.480089;3.491020;3.399493;3.466581;3.491821;3.407591;3.450803
950;3.529031;3.497645;3.434233;3.520353;3.518301;3.421572;3.504649;3.528824;3.434738;3.499737;3.509072;3.440999;3.513592;3.532638;3.389329;3.491012;3.736146;4.221485;4.237761;4.238411;3.542978;3.429611;3.517409;3.507199;3.414517;3.516025;3.537893;3.441871;3.483485;3.513846;3.608066;3.570996;3.513612;3.426139;3.522532;3.507548;3.470344;3.496352;3.514443;3.436025;3.599795;3.520610;3.429142;3.515542;3.468925;3.414562;3.516915;3.533737;3.411683;3.532996;3.542287
1000;3.470381;3.385017;3.456103;3.490079;3.495147;3.477481;3.464486;3.380076;3.491059;3.463779;3.374064;3.458630;3.465347;3.483464;3.461007;3.466861;3.387419;3.480238;3.450299;3.417890;3.477718;3.473834;3.380020;3.472508;3.470103;3.407610;3.457708;3.423780;3.435758;3.479901;3.375432;3.480190;3.486094;3.387629;3.472032;3.468892;3.378537;3.466478;3.477312;3.382517;3.477779;3.474941;3.375760;3.485312;3.466189;3.386559;3.469788;3.472563;3.384159;3.475804;3.446835
2000;3.497867;3.457849;3.510269;3.515296;3.411206;3.518549;3.514443;3.429056;3.503943;3.513980;3.443161;3.512850;3.533480;3.419619;3.512371;3.532174;3.417267;3.512307;3.523618;3.438158;3.502665;3.514147;3.455596;3.531177;3.510347;3.431793;3.512338;3.557392;3.415426;3.508898;3.513663;3.424970;3.521017;3.515488;3.479859;3.510616;3.524332;3.436094;3.529261;3.516949;3.417706;3.537784;3.507982;3.431871;3.503297;3.533567;3.429154;3.517402;3.504267;3.437320;3.488997
3000;3.724087;3.756787;3.662094;3.750233;3.735547;3.767695;3.659774;3.734167;3.759294;3.664764;3.751810;3.761894;3.729490;3.650866;3.759605;3.737633;3.671439;3.731648;3.723600;3.761177;3.678612;3.774755;3.749866;3.659780;3.745681;3.710248;3.699340;3.698756;3.735828;3.738112;3.664050;3.749910;3.749615;3.618569;3.723703;3.754894;3.724749;3.658340;3.733600;3.759941;3.654267;3.739019;3.739685;3.763064;3.659435;3.770211;3.743344;3.655200;3.736678;3.744881;3.720555
4000;3.614571;3.509020;3.608682;3.600176;3.507428;3.613961;3.603170;3.523838;3.596275;3.649522;3.538376;3.584992;3.594936;3.519711;3.602499;3.584886;3.501877;3.597242;3.608206;3.569922;3.519445;3.604403;3.605902;3.511046;3.596573;3.619844;3.510048;3.597863;3.606108;3.512710;3.598476;3.666471;3.514464;3.598490;3.600531;3.514664;3.635459;3.595827;3.561706;3.542729;3.617128;3.605984;3.509979;3.581625;3.608898;3.510297;3.607375;3.588363;3.511946;3.598127;3.575635
5000;3.665949;3.541691;3.660337;3.636002;3.566023;3.642877;3.646760;3.681151;3.558477;3.650628;3.650210;3.565905;3.645198;3.832895;3.961471;3.609727;3.658303;3.672365;3.566701;3.671229;3.650250;3.648243;3.653040;3.677262;3.547457;3.658841;3.681840;3.667606;3.581981;3.637877;3.660648;3.556534;3.652742;3.649108;3.552132;3.671057;3.649019;3.575283;3.651000;3.641039;3.650692;3.549944;3.696055;3.671744;3.553402;3.635552;3.654937;3.567267;3.644667;3.636187;3.640146
6000;4.368573;4.313958;4.423864;4.433539;4.460108;4.372409;4.406936;4.282785;4.382839;4.440488;4.461374;4.418028;4.411838;4.407914;4.348067;4.481719;4.370411;4.424976;4.383566;4.411115;4.272637;4.443535;4.463020;4.424496;4.441237;4.369901;4.326109;4.377160;4.393912;4.437542;4.504796;4.701417;4.814305;4.306003;4.441558;4.438230;4.462173;4.451244;4.439248;4.369072;4.349859;4.923521;5.177917;5.077010;4.523135;4.467751;4.457681;4.323756;4.450327;4.379272;4.460247
7000;4.075594;4.113338;4.268147;4.077475;4.058722;4.102466;4.115749;4.164436;4.041959;4.095272;4.110796;4.104830;4.141073;4.043356;4.104149;4.081035;4.109374;3.998248;4.097363;4.112507;4.117563;4.046210;4.119019;4.104606;4.095790;4.110625;4.029543;4.085959;4.125850;4.113159;4.060427;4.089213;4.097440;4.101103;4.069508;4.112729;4.021253;4.098892;4.081632;4.127891;4.033831;4.113675;4.127419;4.106388;4.064242;4.020656;4.100597;4.107973;4.098101;4.014713;4.092238
8000;4.483963;4.457692;4.448306;4.531046;4.523220;4.436471;4.421558;4.512570;4.455938;4.528042;4.441844;4.511262;4.468417;4.441242;4.672749;4.563373;4.546960;4.552272;4.460853;4.458852;4.501432;4.462618;4.512227;4.462129;4.460978;4.528401;4.492657;4.371469;4.458456;4.454950;4.531436;4.500300;4.625255;4.494188;4.359045;4.470035;4.516012;4.516414;4.544166;4.518554;4.482506;4.456321;4.524182;4.526526;4.459434;4.550348;4.519140;4.436883;4.378273;4.509293;4.490805
9000;4.006605;4.016576;4.001008;3.981347;4.045083;4.003923;4.001678;3.957673;3.999068;4.026197;3.987707;3.925412;4.013237;4.016736;3.997731;3.961846;3.928077;4.001673;3.973628;4.021675;3.910795;4.008854;4.002001;3.991275;3.912733;4.007714;4.000148;4.011921;3.933665;4.020337;4.001941;4.017927;3.911707;4.001992;4.028934;3.998994;3.946373;3.961356;4.006582;3.985380;3.967641;3.939396;3.993690;3.984816;3.998889;3.919464;3.990022;3.992679;3.994316;3.925710;3.984683
10000;3.856106;3.832068;3.861432;3.783668;3.866632;4.081088;3.900284;3.785406;3.897256;3.849751;3.837579;3.812788;3.864683;3.866977;3.777991;3.869511;3.845363;3.862679;3.802878;3.885950;3.890421;3.863558;3.819201;3.879587;3.883547;3.964617;3.761946;3.881637;3.867177;3.793079;3.891391;3.867010;3.852999;3.784634;3.880162;3.867061;3.863923;3.777843;3.890827;3.876246;3.873549;3.796040;3.870978;3.866485;3.846550;3.799083;3.888130;3.874598;3.793888;3.871270;3.855551
11000;4.124723;4.068250;4.054151;4.258085;4.195386;4.075139;4.088259;4.032355;4.096461;4.097494;4.054980;4.143989;4.005757;4.073862;4.087203;4.088837;4.001612;4.116173;4.091677;4.091511;4.094571;4.002081;4.066168;4.127207;4.110864;4.017710;4.089462;4.089542;4.109188;4.094384;4.009093;4.211010;4.085119;4.131174;4.067331;4.031026;4.099872;4.078450;4.069243;3.998681;4.090038;4.076087;4.090309;4.026500;4.056181;4.094204;4.087929;4.102679;4.035305;4.089218;4.083531
